iteration,feature,train_split,model_params,mae,mse
1,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",9.657807862252664,170.68737847454466
2,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",9.974042527228686,178.61829856487537
3,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     3 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.453517787248755,209.60338126965243
4,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",9.606449685443144,163.82206496822124
5,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    1     2     3 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",9.647657622595059,166.54815286469423
6,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.325092503347296,193.206145813755
7,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.1520643197047,188.26235945540256
8,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     2     3 ... 12608 12609 12610],"[500, 0.5, 10, 0.0005]",10.056594633319325,196.1695842773955
9,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.212699268428384,191.17983608271115
10,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 'Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese' '98102' '98103' '98104'
 '98105' '98106' '98107' '98108' '98109' '98112' '98115' '98116' '98117'
 '98118' '98119' '98121' '98122' '98125' '98126' '98133' '98134' '98136'
 '98144' '98146' '98166' '98168' '98177' '98178' '98188' '98199']",[    0     1     2 ... 12609 12611 12612],"[500, 0.5, 10, 0.0005]",9.834706404309024,177.9980337757363
